1000
[92106429, 0, 6, 12, 14]
[92106430, 12, 12, 6, 20]
[92106431, 8, 1, 13, 8]
[92106432, 8, 14, 10, 14]
[92106433, 16, 16, 11, 3]
[92106434, 1, 18, 19, 13]
[92106435, 20, 4, 0, 20]
[92106436, 15, 6, 17, 10]
[92106437, 2, 6, 6, 2]
[92106438, 13, 9, 0, 18]
[92106439, 16, 7, 17, 15]
[92106440, 11, 1, 2, 12]
[92106441, 13, 18, 19, 1]
[92106442, 20, 19, 8, 19]
[92106443, 19, 7, 14, 15]
[92106444, 8, 18, 19, 7]
[92106445, 15, 17, 13, 2]
[92106446, 9, 13, 4, 3]
[92106447, 7, 1, 10, 0]
[92106448, 19, 12, 4, 13]
[92106449, 19, 8, 13, 17]
[92106450, 20, 18, 12, 5]
[92106451, 19, 3, 5, 20]
[92106452, 18, 20, 2, 10]
[92106453, 16, 1, 9, 14]
[92106454, 11, 14, 11, 15]
[92106455, 11, 15, 10, 9]
[92106456, 10, 9, 18, 11]
[92106457, 6, 1, 14, 11]
[92106458, 6, 4, 13, 10]
[92106459, 9, 5, 13, 19]
[92106460, 17, 18, 17, 13]
[92106461, 1, 14, 17, 14]
[92106462, 7, 1, 4, 3]
[92106463, 18, 12, 15, 13]
[92106464, 8, 3, 6, 8]
[92106465, 13, 11, 4, 0]
[92106466, 1, 17, 5, 13]
[92106467, 18, 11, 8, 15]
[92106468, 17, 16, 0, 10]
[92106469, 2, 4, 12, 13]
[92106470, 11, 3, 8, 1]
[92106471, 2, 11, 10, 0]
[92106472, 5, 3, 3, 7]
[92106473, 9, 1, 3, 4]
[92106474, 17, 5, 0, 19]
[92106475, 4, 0, 9, 7]
[92106476, 19, 9, 18, 12]
[92106477, 11, 15, 8, 16]
[92106478, 0, 2, 18, 7]
[92106479, 3, 5, 7, 18]
[92106480, 15, 7, 1, 2]
[92106481, 20, 14, 2, 20]
[92106482, 0, 7, 10, 16]
[92106483, 10, 20, 13, 0]
[92106484, 12, 19, 15, 11]
[92106485, 3, 1, 15, 15]
